account_id,account_name,location,potential_revenue,technology_needs_text
account_0,Account 0 Inc.,EMEA,716703,Seeking expertise in CRM Solutions. 
account_1,Account 1 Inc.,LATAM,1641393,Seeking expertise in DevOps. Also interested in solutions for Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_2,Account 2 Inc.,LATAM,180566,"Seeking expertise in ERP Systems. Also interested in solutions for Cybersecurity, IoT. "
account_3,Account 3 Inc.,North America,1067941,Seeking expertise in Data Analytics. Also interested in solutions for Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_4,Account 4 Inc.,EMEA,1513194,Seeking expertise in DevOps. 
account_5,Account 5 Inc.,North America,1936241,"Seeking expertise in Cloud Computing. Also interested in solutions for Data Analytics, DevOps, ERP Systems. "
account_6,Account 6 Inc.,LATAM,505577,"Seeking expertise in Cybersecurity. Also interested in solutions for CRM Solutions, AI/ML, DevOps. Key project involves digital transformation and infrastructure upgrade."
account_7,Account 7 Inc.,EMEA,795359,"Seeking expertise in DevOps. Also interested in solutions for AI/ML, Cybersecurity. "
account_8,Account 8 Inc.,LATAM,270471,Seeking expertise in ERP Systems. 
account_9,Account 9 Inc.,EMEA,625975,Seeking expertise in AI/ML. Also interested in solutions for Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_10,Account 10 Inc.,EMEA,1692518,Seeking expertise in Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_11,Account 11 Inc.,LATAM,1876488,"Seeking expertise in Cloud Computing. Also interested in solutions for Data Analytics, DevOps, CRM Solutions. "
account_12,Account 12 Inc.,North America,944569,Seeking expertise in CRM Solutions. Also interested in solutions for Cloud Computing. 
account_13,Account 13 Inc.,LATAM,1509786,"Seeking expertise in AI/ML. Also interested in solutions for DevOps, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_14,Account 14 Inc.,APAC,920477,"Seeking expertise in Cloud Computing. Also interested in solutions for Data Analytics, Cybersecurity, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_15,Account 15 Inc.,APAC,658174,Seeking expertise in Data Analytics. Also interested in solutions for IoT. Key project involves digital transformation and infrastructure upgrade.
account_16,Account 16 Inc.,APAC,455603,Seeking expertise in AI/ML. 
account_17,Account 17 Inc.,APAC,417690,"Seeking expertise in DevOps. Also interested in solutions for AI/ML, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_18,Account 18 Inc.,LATAM,804775,"Seeking expertise in DevOps. Also interested in solutions for Data Analytics, ERP Systems. "
account_19,Account 19 Inc.,EMEA,1436690,"Seeking expertise in Cloud Computing. Also interested in solutions for Data Analytics, DevOps. "
account_20,Account 20 Inc.,LATAM,1661754,"Seeking expertise in CRM Solutions. Also interested in solutions for ERP Systems, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_21,Account 21 Inc.,LATAM,134254,Seeking expertise in CRM Solutions. Also interested in solutions for DevOps. 
account_22,Account 22 Inc.,North America,531064,"Seeking expertise in DevOps. Also interested in solutions for AI/ML, Cloud Computing. "
account_23,Account 23 Inc.,APAC,593758,"Seeking expertise in DevOps. Also interested in solutions for ERP Systems, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_24,Account 24 Inc.,EMEA,1821795,Seeking expertise in Cybersecurity. 
account_25,Account 25 Inc.,EMEA,1564163,Seeking expertise in AI/ML. Also interested in solutions for Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_26,Account 26 Inc.,EMEA,1991923,"Seeking expertise in DevOps. Also interested in solutions for AI/ML, Data Analytics. "
account_27,Account 27 Inc.,LATAM,363222,"Seeking expertise in Cloud Computing. Also interested in solutions for AI/ML, ERP Systems, DevOps. Key project involves digital transformation and infrastructure upgrade."
account_28,Account 28 Inc.,EMEA,1383718,"Seeking expertise in ERP Systems. Also interested in solutions for CRM Solutions, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_29,Account 29 Inc.,EMEA,207950,Seeking expertise in IoT. 
account_30,Account 30 Inc.,EMEA,244597,Seeking expertise in Data Analytics. Also interested in solutions for IoT. Key project involves digital transformation and infrastructure upgrade.
account_31,Account 31 Inc.,APAC,1966554,"Seeking expertise in CRM Solutions. Also interested in solutions for Data Analytics, ERP Systems, IoT. "
account_32,Account 32 Inc.,APAC,346941,"Seeking expertise in DevOps. Also interested in solutions for Cybersecurity, AI/ML. "
account_33,Account 33 Inc.,North America,896060,"Seeking expertise in AI/ML. Also interested in solutions for Cloud Computing, DevOps. "
account_34,Account 34 Inc.,APAC,273990,Seeking expertise in ERP Systems. 
account_35,Account 35 Inc.,North America,1828035,"Seeking expertise in Data Analytics. Also interested in solutions for ERP Systems, Cloud Computing, Cybersecurity. "
account_36,Account 36 Inc.,LATAM,1075397,Seeking expertise in Cybersecurity. Also interested in solutions for Data Analytics. Key project involves digital transformation and infrastructure upgrade.
